Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price
Hyundai,H1,2015,Saudi,Black,Semi Full,2.7,Gas,Automatic,131000.0,Al-Medina,42000.0
Toyota,Camry,2019,Saudi,Black,Full,2.5,Gas,Automatic,13000.0,Riyadh,94000.0
Toyota,Camry,2020,Saudi,Brown,Standard,2.5,Gas,Automatic,37000.0,Riyadh,80000.0
Toyota,Hilux,2014,Saudi,White,Standard,2.5,Gas,Manual,125000.0,Riyadh,40000.0
Ford,Taurus,2019,Saudi,Black,Standard,2.0,Gas,Automatic,49000.0,Riyadh,82000.0
Toyota,Camry,2019,Saudi,Black,Standard,2.5,Gas,Automatic,48000.0,Riyadh,80000.0
Hyundai,Sonata,2018,Saudi,White,Semi Full,2.0,Gas,Automatic,116000.0,Riyadh,55000.0
Ford,Expedition,2013,Saudi,White,Standard,5.4,Gas,Automatic,235000.0,Riyadh,50000.0
Nissan,Patrol,2015,Saudi,Another Color,Full,5.6,Gas,Automatic,228000.0,Riyadh,130000.0
Toyota,Ciocca,2009,Saudi,Grey,Full,5.7,Gas,Automatic,343000.0,Riyadh,60000.0
Chevrolet,Tahoe,2015,Saudi,Silver,Standard,5.3,Gas,Automatic,233000.0,Riyadh,98000.0
Toyota,Land Cruiser Pickup,2018,Saudi,Another Color,Standard,4.0,Gas,Manual,98000.0,Riyadh,105000.0
